English,Bengali
OSCILLATIONS,দোলন
OSCILLATIVE,দোলন
OSCILLATIVELY,দোদুল্যমানভাবে
OSCILLATOR,অসিলেটর
OSCILLATORIA,দোলন
OSCILLATORIACEAE,দোলক
OSCILLATORIACEOUS,দোলক
OSCILLATORIAN,দোলক-সংক্রান্ত
OSCILLATORY,দোলায়মান
OSCILLOGRAPH,দোলনলিপিলেখ
OSCILLOGRAPHICALLY,অসিলোগ্রাফিকভাবে
OSCILLOGRAPHY,দোলনলিপিলেখ
OSCILLOMETRIC,দোলনগত
OSCILLOMETRIES,অসিলোমেট্রি
OSCILLOSCOPE,ফুটিয়ে তোলা যায়
OSCILLOSCOPES,অসিলোস্কোপ
OSCILLOSCOPIC,ফুটিয়ে তোলা যায়
OSCILLOSCOPICALLY,অসিলোস্কোপিকভাবে
OSCINIAN,অসিনিয়ান
OSCITANCE,ক্ষীণবুদ্ধি
OSCITANCES,ক্ষীণবুদ্ধি
OSCITANCIES,ক্ষীণমতি
OSCITANCY,ক্ষীণবুদ্ধি
OSCITANT,দোলক
OSCITANTLY,দোলনশীলভাবে
OSCITATE,দুলা
OSCITATING,দোদুল
OSCITATION,অমনোযোগ
OSCULA,চুম্বন
OSCULABLE,দোলনযোগ্য
OSCULANT,চুম্বনরত
OSCULAR,চুম্বনসংক্রান্ত
OSCULARITY,অস্থিরতা
OSCULATE,চুম্বন করা
OSCULATED,চুম্বন করা
OSCULATES,চুম্বন করা
OSCULATING,আপতিত
OSCULATING CIRCLE,আপতিত বৃত্ত
OSCULATION,দোলন
OSCULATIONS,দোলন
OSCULATORIES,দোলনা
OSCULATORY,দোলনসংক্রান্ত
OSCULE,দোলক
OSCULES,অস্কুল
OSCULIFEROUS,অস্থির
OSCULUM,মুখের মতো আকৃতিবিশিষ্ট ছিদ্র
OSES,অপারেটিং সিস্টেমের
OSHEA,হোশেয়
OSIERED,অসিয়ার্ড
OSIERIES,ওসিয়ারি
OSIERLIKE,অসিয়ের মতো
OSIERY,অজয়
OSIRIFICATION,অসিরিফিকেশন
OSIRISM,ওসিরবাদ
OSLO,ত্তস্লো
OSMANTHUS,চা
OSMATERIA,অসমেটেরিয়া
OSMATIC,অসমীয়
OSMETERIA,অসমেটেরিয়া
OSMIAMIC,অসমিয়াজনিত
OSMIOUS,অস্পষ্ট
OSMIUM,প্ল্যাটিনাম গোত্রের একটি নীলাভ সাদা রঙের ধাতু
OSMIUMS,অসমিয়াম
OSMOMETRICALLY,অসমোমেট্রিকভাবে
OSMOPHOBIA,অসমোফোবিয়া
OSMORHIZA,অসমোরহিজা
OSMOSE,আস্রবণ
OSMOSES,আস্রবণ
OSMOSIS,অভিস্রবণ
OSMOTACTIC,অসমোট্যাকটিক
OSMOTIC,আস্রবণসঙক্রান্ত
OSMOTIC PRESSURE,আস্রবণ চাপ
OSMOTICALLY,অসমোটিকভাবে
OSMUNDACEOUS,অস্পষ্ট
OSOPHIES,অসোফি
OSPHERE,গোলক
OSPHRESIOLOGIC,অস্থির-নর্দমা-সংক্রান্ত
OSPHRESIOLOGIST,অস্থিচিকিৎসক
OSPHRESIOMETRY,অসফ্রেসিওমিট্রি
OSPHRETIC,অস্ফ্রিটিক
OSPHYALGIA,শ্বাসনালীর ব্যথা
OSPHYALGIC,অস্থির
OSPHYARTHRITIS,অস্থির প্রদাহ
OSPHYITIS,অস্থির প্রদাহ
OSPREY,বকপাখি
OSPREYS,বকপাখি
OSSA,হাড়
OSSARIUM,ওসারিয়াম
OSSATURE,অস্থির স্তম্ভ
OSSEA,ওসিয়া
OSSEIN,হাড়ের জৈব উপাদান
OSSEMENTS,অবশিষ্টাংশ
OSSEOALBUMINOID,অসিওঅ্যালবুমিনয়েড
OSSEOAPONEUROTIC,অনুসরণ
OSSEOFIBROUS,অনুসরণ
OSSEOMUCOID,অস্থি-কোষ
OSSEOUS,অস্থিগঠিত
OSSEOUS LABYRINTH,অস্থিগঠিত গোলকধাঁধা
OSSEOUS TISSUE,অস্থিগঠিত টিস্যু
OSSEOUSLY,অস্থিরভাবে
OSSETER,অসেটার
OSSETIAN,ওসেশিয়ান
OSSETIC,অস্থিসংক্রান্ত
OSSETISH,অস্থির
OSSIA,অর্থাত্
OSSIAN,ওসিয়ান
OSSIANESQUE,ওসিয়ানেস্ক
OSSIANIC,ওসিয়ানিক
OSSIANISM,অসিয়ানবাদ
OSSIANIZE,অস্থির করা
OSSICLE,অস্থিকা
OSSICLES,অস্থি
OSSICULA,অস্থি
OSSICULAR,অস্থি-সংক্রান্ত
OSSICULATE,দণ্ডিত করা
OSSICULATED,দণ্ডিত
OSSICULE,অস্থি
OSSICULECTOMY,অস্থি অপসারণ
OSSICULOTOMY,অস্থি অপসারণ
OSSICULUM,অস্থি
OSSIFEROUS,শ্বাসনালীযুক্ত
OSSIFIC,অসিফিক
OSSIFICATION,অসীমীকরণ
OSSIFICATIONS,অসীমীকরণ
OSSIFICATORY,অস্থির
OSSIFIED,অস্পষ্ট
OSSIFIER,অসিফায়ার্স
OSSIFIERS,অসিফায়ার্স
OSSIFIES,অস্থির করে তোলে
OSSIFLUENCE,অপ্রচলতা
OSSIFLUENT,অপ্রবাহিত
OSSIFORM,অর্ধ-আকৃতির
OSSIFRAGE,অসিফ্রেজ
OSSIFRANGENT,অস্পষ্ট
OSSIFY,হাড়ে পরিণত করা
OSSIFYING,দোলনকারী
OSSIVOROUS,মাংসাশী
OSSUARIES,অস্থি সংরক্ষণাগার
OSSUARIUM,অসুরিয়াম
OSSUARY,অস্থি-আধার
OSSYPITE,অসিপিট
OSTALGIA,অস্থিরতা
OSTARA,অস্তারা
OSTEARTHROTOMY,অস্টিওআর্থ্রোটমি
OSTECTOMIES,অস্টিওটেক্টমি
OSTEECTOMIES,অস্টিওঅ্যাক্টমি
OSTEECTOPY,অস্টিওঅ্যাক্টোপী
OSTEMIA,অস্টেমিয়া
OSTEND,জাঁকজমকপূর্ণ আচরণ
OSTENSIBILITIES,সম্ভাবনা
OSTENSIBILITY,দৃশ্যমানতা
OSTENSIBLE,প্রকাশ্য
OSTENSIBLY,দৃশ্যত
OSTENSION,দমন
OSTENSIVE,প্রত্যক্ষগোচর
OSTENSIVE DEFINITION,প্রত্যক্ষগোচর সংজ্ঞা
OSTENSIVELY,আপত্তিকরভাবে
OSTENSORIES,অলৌকিক ঘটনা
OSTENSORY,দৃষ্টান্তমূলক
OSTENT,জাঁকজমকপূর্ণ
OSTENTATE,জাঁকজমকপূর্ণ আচরণ করা
OSTENTATION,জাঁকজমক
OSTENTATIONS,জাঁকজমক
OSTENTATIOUS,জাঁকজমকপূর্ণ
OSTENTATIOUSLY,দম্ভপূর্ণভাবে
OSTENTATIOUSNESS,জাঁকজমক
OSTENTIVE,জাঁকজমকপূর্ণ
OSTENTOUS,জাঁকজমকপূর্ণ
OSTEO GANGRENE,হাড়ের পচন ধরা
OSTEO NEURALGIA,হাড়ের ফিক্
OSTEO PHLEBITIS,হাড়ের ধমনীপ্রবাহ
OSTEO THROMBOSIS,হাড়ের রক্তনালীতে রক্ত ​​জমাট বাঁধা
OSTEO TOMATOES,হাড়ের টমেটো
OSTEO TRIBE,হাড়ের উপজাতি
OSTEO-ARTHRITIS,হাড়ের বাত
OSTEOARTHRITIS,অস্টিওআর্থারাইটিস
OSTEOCACHETIC,অস্টিওক্যাচেটিক
OSTEOCHONDROSARCOMA,অস্টিওকন্ড্রোসারকোমা
OSTEOCLASIA,অস্টিওক্ল্যাসিয়া
OSTEOGRAPHY,অস্থির বিজ্ঞানসম্মত বিবরণ
OSTEOLOGIC,অস্থিবিদ্যা সংক্রান্ত
OSTEOLOGICAL,অস্থিবিদ্যা সংক্রান্ত
OSTEOLOGICALLY,অস্থিবিদ্যাগতভাবে
OSTEOLOGIST,অস্থিবিজ্ঞানী
OSTEOLOGY,অস্থিবিজ্ঞান
OSTEOMANCY,অস্থিবিদ্যা
OSTEOMYELITIS,অস্থির প্রদাহ
OSTEOPATHIC,বিকল্প
OSTEOPATHICALLY,অস্টিওপ্যাথিকভাবে
OSTEOPATHY,অস্থি ও মাংসপেশির নাড়াচাড়ার মাধ্যমে রোগের চিকিত্সা
OSTEOPHAGIA,অস্টিওফ্যাগিয়া
OSTEOSARCOMA,অস্টিওসার্কোমা আমাকে
OSTEOSTOMATOUS,অস্টিওস্টোম্যাটিক
OSTERIA,অস্টেরিয়া
OSTIA,দরজা
OSTIARIES,অস্টিয়ারি
OSTIARIUS,অস্টিয়ারিয়াস
OSTIATE,অহংকার করা
OSTIOLATE,অস্থির করা
OSTITIS,অস্টিওপরোসিস
OSTIUM,দরজা
OSTLER,অশ্বপাল
OSTLERS,অশ্বপাল
OSTOMIES,অস্টোমি
OSTRACEOUS,বহিষ্কৃত
OSTRACION,বহিষ্কার
OSTRACISE,বর্জন করা
OSTRACISED,একঘরে
OSTRACISM,সমাজ হইতে বহিষ্কার
OSTRACISMS,সমাজ হইতে বহিষ্কার
OSTRACIZABLE,বহিষ্কৃত
OSTRACIZATION,সমাজচ্যুতকরণ
OSTRACIZE,বহিষ্কৃত করা
OSTRACIZED,বহিষ্কৃত
OSTRACIZER,বহিষ্কারকারী
OSTRACIZES,সমাজচু্যত করা
OSTRACIZING,বহিষ্কার করা
OSTRACOID,বহিষ্কৃত
OSTREGER,অপমানজনক
OSTREICULTURAL,উটপাখি পালন
OSTREICULTURE,উটপাখি পালন
OSTREICULTURIST,উটপাখি চাষী
OSTRICH,উটপাখী
OSTRICH FERN,উটপাখি ফেনা
OSTRICHES,উটপাখি
OSTRICHLIKE,উটপাখির মতো
OT,দুবারই
OTALGIC,অস্থির
OTARIA,ওটারিয়া
OTARIOID,ওটেরিওয়েড
OTHEMORRHEA,অথেমোরিয়া
OTHER,অন্যান্য
OTHER PARTY,অন্য দল
OTHER PEOPLE,অন্য ব্যাক্তিরা
OTHER PLACE,অন্য স্থান
OTHER THAN,আর অন্যান্য
OTHER THAN THAT,তদন্য
OTHER WORLD,অন্যান্য বিশ্ব
OTHER-GROUP,অন্যান্য দলের
OTHERDOM,অন্য রাজ্য
OTHEREST,অন্যথায়
OTHERGATES,অন্যান্য গেটস
OTHERGUESS,অন্যথায় অনুমান
OTHERGUISE,অন্যান্য পদ্ধতি
OTHERHOW,অন্যভাবে
OTHERISM,অন্যধর্ম
OTHERIST,অন্যবাদী
OTHERNESS,ভিন্নতা
OTHERNESSES,অন্যতা
OTHERS,অন্যান্য
OTHERSOME,অন্য কিছু
OTHERTIME,অন্য সময়
OTHERTIMES,অন্য সময়
OTHERWARDS,অন্য দিকে
OTHERWAYS,অন্যান্য উপায়
OTHERWHENCE,অন্য কোথাও
OTHERWHERE,অন্য কোথাও
OTHERWHERENESS,অন্য কোথাও
OTHERWHERES,অন্য কোথাও
OTHERWHILE,অন্য সময়
OTHERWHILES,অন্য সময়
OTHERWHITHER,অন্য কোথাও
OTHERWISE,অন্যভাবে
OTHERWISENESS,অন্যথা
OTHERWORLD,অন্য জগৎ
OTHERWORLDLINESS,অন্য জগতের প্রতি আকৃষ্টতা
OTHERWORLDLY,অন্য জাগতিক
OTHERWORLDNESS,অন্য জগতের অস্তিত্ব
OTHIN,অন্য কিছু
OTHINISM,অথিনিজম
OTHMAN,উসমান
OTHMANY,অন্যরা
OTIATRIC,চোখের ডাক্তার
OTIATRY,অত্যাচার
OTIC,কানের
OTIORHYNCHID,ওটিওরহিনকিড
OTIOSE,সম্পূর্ণরূপে অপ্রস্তুত
OTIOSELY,নিঃশব্দে
OTIOSENESS,অলসতা
OTIOSITIES,আলস্য
OTIOSITY,কুড়েমি
OTIS TARDA,ওটিস স্লো
OTITIS,কর্ণশূল
OTITIS EXTERNA,কর্ণশূল বহিরাগত
OTIUM,অবসর
OTO,কর্ণ
OTOCONIA,ওটোকোনিয়া
OTOCONIAL,অটোকোনিয়াল
OTOCONITE,অটোকোনাইট
OTOCONIUM,অটোকোনিয়াম
OTOCRANE,অটোক্রেন
OTOCRANIAL,অটোক্রেনিয়াল
OTOCRANIC,অটোক্র্যানিক
OTOCRANIUM,অটোক্রেনিয়াম
OTOGENIC,অটোজেনিক
OTOGENOUS,বহিঃস্থ
OTOGRAPHICAL,স্বরলিপি সংক্রান্ত
OTOLARYNGOLOGIC,কানের ব্যথা সংক্রান্ত
OTOLARYNGOLOGICAL,কানের ব্যথা সংক্রান্ত
OTOLARYNGOLOGIES,ওটোলারিঙ্গোলজি
OTOLARYNGOLOGIST,কানের কণ্ঠনালী বিশেষজ্ঞ
OTOLARYNGOLOGISTS,অটোল্যারিনগোলজিস্ট
OTOLARYNGOLOGY,ওটাল্যারিঙ্গওলজি
OTOLITHIC,অটোলিথিক
OTOLITHIDAE,ওটোলিথিডে
OTOLITHS,মডেলিং
OTOLITIC,অটোলিটিক
OTOLOGIC,অন্ত্রসংক্রান্ত
OTOLOGICAL,কানের ক্ষত সংক্রান্ত
OTOLOGICALLY,অটোলজিকালভাবে
OTOLOGIES,কর্ণবিজ্ঞান
OTOLOGIST,নাড়ির রোগ বিশেষজ্ঞ
OTOLOGY,কানের শ্লেষ্মাবিদ্যা
OTOMASSAGE,অটোম্যাসেজ
OTOMIAN,অটোমিয়ান
OTOPATHIC,অটোপ্যাথিক
OTOPATHICETC,অটোপ্যাথিক ইত্যাদি
OTOPHARYNGEAL,ওটোফ্যারিঞ্জিয়াল
OTORHINOLARYNGOLOGIC,ওটোরহিনোলারিঙ্গোলজিক
OTORHINOLARYNGOLOGIST,অটোরহিনোলারিঙ্গোলজিস্ট
OTORHINOLARYNGOLOGY,ওটোরহিনোলারিঙ্গোলজি
OTORRHAGIA,মূত্রনালীর প্রদাহ
OTORRHEA,মূত্রনালীর প্রদাহ
OTORRHOEA,মূত্রনালীর প্রদাহ
OTOSCOPE,কর্ণবীক্ষণ যন্ত্র
OTOSCOPES,অটোস্কোপ
OTOSCOPIC,অটোস্কোপিক
OTOSCOPIES,অটোস্কোপি
OTOSCOPY,অটোস্কোপি
OTTARS,ভোঁদড়
OTTAVINO,ঔষধালয়
OTTAWA,অটোয়া
OTTAWA RIVER,অটোয়া নদী
OTTAWAS,অটোয়া
OTTER,ভোঁদড়
OTTER CANOE,ওটার ডাঁটা
OTTER DOG,ভোঁদড়শিকারের কুকুর
OTTER RAFT,উটপাখি রাস্তা
OTTER SHEEP,অট্ট ভেড়া
OTTER SHELL,ঊর্ধ্বতন শেল
OTTER SHREW,অট্টাল বিহ্বল
OTTERER,ভোঁদড়
OTTERHOUND,ভোঁদড়
OTTERS,ভোঁদড়
OTTETTO,ওটেটো
OTTINGER,অটিংগার
OTTO,অটো
OTTO I,আতর আমি
OTTO THE GREAT,আতর মহান
OTTO'S,আতর
OTTOMAN,আসনবিশেষ
OTTOMAN DYNASTY,অটোমান রাজবংশের
OTTOMAN EMPIRE,অটোমান সাম্রাজ্য
OTTOMAN TURK,অটোমান তুর্কী
OTTOMANEAN,অটোমানীয়
OTTOMANIC,অটোমান সাম্রাজ্যের
OTTOMANISM,অটোমানবাদ
OTTOMANIZE,অটোমানাইজ করা
OTTOMANLIKE,অটোমানদের মতো
OTTOMANS,আসনবিশেষ
OTTOS,আতর
OTTROYE,ওট্রোয়ে
OTTWEILIAN,অট্টওয়েলিয়ান
OTURIA,ওটুরিয়া
OU,বা
OUABAIO,ওয়াবায়ো
OUACHITITE,উয়াচিটাইট
OUANGA,ওয়াঙ্গা
OUBLIANCE,ঔজ্জ্বল্য
OUBLIET,বহির্মুখী
OUBLIETTE,একধরনের গুপ্ত কারাকক্ষ যার একমাত্র প্রবেশ পথ হল ছাদের চোরাদরজা
OUCH,সেকি
OUCHES,বক্ল
OUD,উদ্
OUDENODON,ওডেনোডন
OUDENODONT,ওডেনোডন্ট
OUFOUGHT,উফ
OUGH,উফ
OUGHT,কর্তব্য
OUGHT TO,উচিৎ
OUGHTED,উচিত
OUGHTING,উচিত
OUGHTLINS,অথলিনস
OUGHTNESS,কর্তব্য
OUGHTNT,উচিত নয়
OUGHTS,কর্তব্য
OUI,হাঁ
OUIJA,ঐজা
OUISTITI,এর উত্স
OUMAS,সাম্প্রতিক পোস্ট
OUNCE,আউন্স
OUNCES,আউন্স
OUNDING,ধ্বনিত
OUNDY,অত্যধিক
OUP,কিন্তু আইন প্রস্তাব করেনা
OUR,আমাদের
OUR FATHER,ঈশ্বর
OUR LADY,আমাদের মহিলা
OUR LADY'S MILD THISTLE,মেরিমাতা এর হালকা কাঁটাগাছ
OUR LORD,যিশুখ্রিস্ট
OUR LORD'S CANDLE,হে আমাদের পালনকর্তা এর মোমবাতি
OUREBI,আমাদের
OURN,আমাদের
OURS,আমাদিগের
OURSELF,আমরা নিজেরাই
OURSELVES,নিজেদেরকে
OUS,পরায়ণ
OUST,বেদখল করা
OUSTED,বেদখল
OUSTEE,বহিষ্কার করা
OUSTER,বেদখল
OUSTER LE MAIN,বহিষ্কার লে প্রধান
OUSTERS,বেদখল
OUSTING,ক্ষমতাচ্যুত করা
OUSTS,বহিষ্কার করে
OUT,বাইরে
OUT AND AWAY,শতগুণে
OUT AND OUT,পুরোপুরি
OUT BABBLING,আউট অস্ফুটবাক্
OUT BEAT,হাতুড়ি দিয়া পিটিয়া চেষ্টা করা
OUT FLEEING,বাইরে পালিয়ে
OUT IN,আউট
OUT LAUGHING,হাসতে হাসতে বাইরে
OUT LOUD,অট্ট আউট
OUT MARRIED,বাইরে বিয়ে
OUT MEASURING,পরিমাপের বাইরে
OUT OF,বাহিরে
OUT OF A JOB,বেকার
OUT OF ACTION,মাঠের বাইরে
OUT OF BREATH,ঊর্ধ্বশ্বাসে
OUT OF COMMISSION,দুষ্প্রাপ্য
OUT OF CONTEXT,অপ্রাসঙ্গিক
OUT OF DANGER,নিরাপদ
OUT OF DATE,সেকেলে
OUT OF DOORS,দরজার বাইরে
OUT OF GEAR,গিয়ার আউট
OUT OF HUMOR,অসন্তুষ্ট
OUT OF HUMOUR,অসন্তুষ্ট
OUT OF IT,দলছুট
OUT OF JOINT,বিঘটিত
OUT OF NECESSITY,প্রয়োজনের তাগিদে
OUT OF NOTHING,কিছুই আউট
OUT OF NUMBER,অসংখ্য
OUT OF ORDER,অকেজো
OUT OF PLACE,অবান্তর
OUT OF PLAY,খেলার বাইরে
OUT OF PLUMB,অনুল্লম্ব
OUT OF POCKET,টাকাকড়িহীন
OUT OF PRACTICE,অনুশীলনের বাইরে
OUT OF SIGHT,অদৃশ্য
OUT OF SORTS,মনমরা
OUT OF STOCK,ফুরিয়ে গেছে
OUT OF THE BLUE,নীল আউট
OUT OF THE ORDINARY,অসাধারণ
OUT OF THE QUESTION,প্রশ্নই ওঠে
OUT OF THIN AIR,পাতলা বায়ু আউট
OUT OF TIME,অকালে
OUT OF TRUE,সত্য আউট
OUT OF TUNE,বেসুরো
OUT OF TURN,পালার বাহিরে
OUT OF USE,ব্যবহারের অযোগ্য
OUT OF VIEW,দেখুন আউট
OUT OF WEDLOCK,দাম্পত্য আউট
OUT OF WHACK,বিকল
OUT QUAFF,বাইরে বড় বড় চুমুকে পান
OUT SAILING,আউট পালতোলা
OUT SISTER,বাইরে বোন
OUT SNATCH,কেড়ে
OUT SPREADING,পাতন আউট
OUT TEASE,আঁশ বাহির করা
OUT THERE,ওখানে
OUT TO,বাহিরে
OUT TRUMPS,বাইরে তাস দেখান
OUT VOCIFERATE,বাইরে শোরগোল
OUT WASTE,খুঁজে বর্জ্য
OUT YELLED,চিৎকার
OUT!,দূর হত্ত!
OUT-AND-OUTER,অপ্রচলিত এবং বাইরের
OUT-BABYLON,অপ্রচলিত ব্যাবিলন
OUT-BORDER,অপ্রচলিত সীমান্ত
OUT-CARGO,অপ্রচলিত পণ্যসম্ভার
OUT-CLEARER,অপ্রচলিত পরিস্কার
OUT-CLEARING,অপ্রচলিত ক্লিয়ারিং
OUT-CRAFT,অপ্রচলিত নৈপুণ্য
OUT-GROUP,অপ্রচলিত গ্রুপ
OUT-HEROD,আউট-হেরোদ
OUT-KNEED,আউট হাঁটুযুক্ত
OUT-MILTON,অপ্রচলিত মিল্টন
OUT-NERO,অপ্রচলিত নিরো
OUT-OF-BODY EXPERIENCE,আউট শরীর অভিজ্ঞতা
OUT-OF-BOUNDS,সীমার বাইরে
OUT-OF-COURT SETTLEMENT,কোর্টের ক্ষমতার বাইরে
OUT-OF-DOOR,অপ্রচলিত দরজা
OUT-OF-FASHION,অপ্রচলিত
OUT-OF-FOCUS,সীমার বাহিরে
OUT-OF-HAND,নাগালের বাহিরে
OUT-OF-OFFICE,অফিসের বাইরে
OUT-OF-PRINT,ছাপা নাই
OUT-OF-REACH,সাধ্যের বাইরে
OUT-OF-SCHOOL,কাজ করছি ভাল এবং আপনি
OUT-OF-SEASON,মৌসুম শেষ
OUT-OF-THE-BOX THINKING,অপ্রচলিত বাক্স চিন্তা
OUT-OF-THE-WAY,পথের বাইরে
OUT-OF-THE-WORLD,জগতের বাইরে
OUT-OF-TOWN,শহরের বাইরে
OUT-OF-WORK,অকেজো
OUT-PATIENT,হাসপাতালের বহির্বিভাগের রুগী
OUT-POINTED,অপ্রচলিত উল্লেখ
OUT-SOUL,অপ্রচলিত আত্মা
OUT-TORY,অপ্রচলিত সংরক্ষণশীল
OUTACT,অভদ্র আচরণ করা
OUTACTED,অপব্যবহার করা
OUTACTING,অপমানজনক
OUTACTS,অপমান করে
OUTADD,ছাড়িয়ে যাওয়া
OUTADDED,ছাড়িয়ে গেছে
OUTADDING,ছাড়িয়ে যাওয়া
OUTADDS,ছাড়িয়ে যায়
OUTADMIRAL,বহির্মুখী অ্যাডমিরাল
OUTAGE,বিভ্রাট
OUTAGES,বিভ্রাটের
OUTAMBUSH,আক্রমণাত্মক আক্রমণ
OUTARDE,বাইরের দিকে
OUTARGUE,বিতর্ক করা
OUTARGUED,বিতর্কিত
OUTARGUES,বিতর্ক
OUTARGUING,বিতর্কমূলক
OUTAS,বাইরে
OUTASIGHT,অদৃশ্য
OUTASK,জিজ্ঞাসা করা
OUTASKED,জিজ্ঞাসা করা
OUTATE,ত্যাগ করা
OUTAWE,বিস্ময়ে হতবাক করা
OUTAWED,হতবাক
OUTAWING,অবাক করে দেওয়া
OUTBABBLE,জানাজানি হইতে দেত্তয়া
OUTBABBLED,জানাজানি হইতে দেত্তয়া
OUTBABBLING,জানাজানি হইতে দেত্তয়া
OUTBACK,প্রত্যন্ত অঞ্চল
OUTBACKER,বহির্গামী
OUTBADE,নিষিদ্ধ করা
OUTBAKE,অতিক্রান্ত করা
OUTBAKED,অতিরঞ্জিত
OUTBAKES,ছাড়িয়ে যায়
OUTBAKING,অতিরঞ্জিত করা
OUTBALANCE,ভারসাম্যহীনতা
OUTBALANCED,ত্তজনে ছাপাইয়া ত্তঠা
OUTBALANCES,ভারসাম্যের বাইরে থাকা
OUTBALANCING,ভারসাম্যহীনতা
OUTBAN,নিষিদ্ধ করা
OUTBANNED,নিষিদ্ধ
OUTBANNING,নিষিদ্ধকরণ
OUTBANTER,বাইরে থেকে খেলাধুলা করা
OUTBAR,বহির্মুখী
OUTBARGAIN,দর কষাকষি করা
OUTBARGAINED,দর কষাকষি করা
OUTBARGAINING,দর কষাকষি
OUTBARGAINS,দর কষাকষি
OUTBARK,ঘেউ ঘেউ করা
OUTBARKED,ঘেউ ঘেউ করে বেরিয়ে আসা
OUTBARKING,ঘেউ ঘেউ করা
OUTBARKS,ঘেউ ঘেউ করে
OUTBARRED,বহির্ভূত
OUTBARRING,বাইরে বের করে দেওয়া
OUTBARTER,বিনিময় করা
OUTBATTED,পরাজিত
OUTBATTER,আক্রমণ করা
OUTBAWL,চিৎকার করা
OUTBAWLED,হতবাক
OUTBAWLING,চিৎকার করা
OUTBAWLS,চিৎকার করা
OUTBBLED,ফুটে উঠেছে
OUTBBRED,অপ্রচলিত
OUTBEAM,বাইরের আলো
OUTBEAMED,বিবর্ণ
OUTBEAMING,উজ্জ্বল
OUTBEAMS,বহির্মুখী আলোকসজ্জা
OUTBEAR,অপ্রতিরোধ্য
OUTBEARING,সাহসী
OUTBEG,অধীর আগ্রহে অপেক্ষা করা
OUTBEGGAR,ভিক্ষুক
OUTBEGGED,ভিক্ষাবৃত্তি
OUTBEGGING,ভিক্ষাবৃত্তি
OUTBELCH,বেল্টের বাইরে থাকা
OUTBELLOW,বেলোর বাইরে
OUTBEND,বাঁকানো
OUTBENDING,অপ্রতিরোধ্য
OUTBENT,বহির্মুখী
OUTBETTER,ছাড়িয়ে যাওয়া
OUTBID,অতিরঞ্জন
OUTBIDDEN,নিষিদ্ধ
OUTBIDDER,অবাধ বিডকারী
OUTBIDS,বিড ছাড়িয়ে যাওয়া
OUTBIRTH,প্রসব
OUTBLACKEN,কালো করে ফেলা
OUTBLAZE,জ্বলে ওঠা
OUTBLAZED,উচ্ছ্বসিত
OUTBLAZES,জ্বলে ওঠে
OUTBLAZING,জ্বলন্ত
OUTBLEAT,ফুঁপিয়ে ফুঁপিয়ে উঠা
OUTBLEATED,প্রস্ফুটিত
OUTBLEATING,রক্তক্ষরণ
OUTBLEATS,ঝাঁকুনি দেয়
OUTBLED,রক্তক্ষরণ
OUTBLEED,রক্তক্ষরণ
OUTBLEEDING,রক্তপাত
OUTBLESS,আশীর্বাদ করা
OUTBLESSED,ধন্য
OUTBLESSES,আশীর্বাদ
OUTBLESSING,আশীর্বাদপূর্ণ
OUTBLEW,বিস্ফোরণ ঘটানো
OUTBLOOM,প্রস্ফুটিত হওয়া
OUTBLOOMED,প্রস্ফুটিত
OUTBLOOMING,প্রস্ফুটিত
OUTBLOOMS,ফুটে ওঠে
OUTBLOSSOM,প্রস্ফুটিত হওয়া
OUTBLOT,সর্বনাশ
OUTBLOTTED,অস্পষ্ট
OUTBLOTTING,ক্ষয়ক্ষতি
OUTBLOW,প্রচণ্ড আঘাত
OUTBLOWING,উচ্ছ্বসিত
OUTBLOWN,উচ্ছ্বসিত
OUTBLUFF,অশ্লীল কথা বলা
OUTBLUFFED,অহংকারী
OUTBLUFFING,অশ্লীল কথা বলা
OUTBLUFFS,অপবাদ
OUTBLUNDER,ভুল করা
OUTBLUSH,লজ্জায় ভেঙে পড়া
OUTBLUSHED,লজ্জিত
OUTBLUSHES,লজ্জা পায়
OUTBLUSHING,লজ্জায় ভরা
OUTBLUSTER,মুখ থুবড়ে পড়া
OUTBOARD,জাহাজের বাইরে
OUTBOARD MOTOR,জাহাজের বা নৌকোর বাইরের দিকের মোটর
OUTBOARD MOTORBOAT,জাহাজের বা নৌকোর বাইরের মোটরবোট
OUTBOARDS,বহির্গমন
OUTBOAST,গর্ব করা
OUTBOASTED,গর্বিত
OUTBOASTING,গর্ব করা
OUTBOASTS,গর্ব করে
OUTBOLTING,অপ্রতিরোধ্য
OUTBOND,বহির্মুখী
OUTBORE,বহির্ভাগ
OUTBORN,জন্মগত
OUTBORNE,বহির্মুখী
OUTBOROUGH,বহির্ভাগ
OUTBOUND,বিদেশগামী
OUTBOUNDARIES,বহির্সীমানা
OUTBOUNDS,বহির্গমন
OUTBOW,ধনুক দিয়া বাহির করা
OUTBOWED,পরাজিত
OUTBOWL,বহির্গমন পাত্র
OUTBRAG,অহংকার করা
OUTBRAGGED,অহংকার করা
OUTBRAGGING,অহংকার করা
OUTBRAID,বিকৃত করা
OUTBRANCH,শাখা ছাড়িয়ে যাওয়া
OUTBRANCHING,শাখা ছাড়িয়ে যাওয়া
OUTBRAVE,সাহসী হওয়া
OUTBRAVED,সাহসী
OUTBRAVES,সাহসী হওয়া
OUTBRAVING,সাহসী
OUTBRAY,বকবক করা
OUTBRAZEN,বেপরোয়াভাবে উত্তেজিত হওয়া
OUTBREAK,প্রাদুর্ভাব
OUTBREAKER,প্রাদুর্ভাবকারী
OUTBREAKING,প্রাদুর্ভাব
